year,country_origin_id,country_destination_id,hs92_product_id,export_val,export_val_pct
2010,CAF,ALL,1801,9044,0.000092%
2010,CIV,ALL,1801,2845209497.65,29%
2010,CMR,ALL,1801,627555347.53,6.4%
2010,COD,ALL,1801,2464118.6,0.025%
2010,COG,ALL,1801,2738625.75,0.028%
2010,GAB,ALL,1801,84892.01,0.00086%
2010,GHA,ALL,1801,1855496377.06,19%
2010,GIN,ALL,1801,11929371.99,0.12%
2010,GNQ,ALL,1801,2392645.8,0.024%
2010,KEN,ALL,1801,676731.49,0.0069%
2010,LBR,ALL,1801,14151197.87,0.14%
2010,MDG,ALL,1801,25324559.31,0.26%
2010,MOZ,ALL,1801,38241.31,0.00039%
2010,NGA,ALL,1801,1198851546.85,12%
2010,SLE,ALL,1801,40457711.41,0.41%
2010,STP,ALL,1801,7502197.21,0.076%
2010,TGO,ALL,1801,259635803.64,2.6%
2010,TZA,ALL,1801,32159035.82,0.33%
2010,UGA,ALL,1801,60644753.1,0.62%
2010,ZAF,ALL,1801,180205.67,0.0018%
2010,ARE,ALL,1801,21465256.71,0.22%
2010,CHN,ALL,1801,408807.24,0.0042%
2010,IDN,ALL,1801,1357519549.89,14%
2010,IND,ALL,1801,1618021.95,0.016%
2010,IRN,ALL,1801,2941.13,0.000030%
2010,ISR,ALL,1801,1000,0.000010%
2010,JPN,ALL,1801,239413.59,0.0024%
2010,LBN,ALL,1801,60809.16,0.00062%
2010,LKA,ALL,1801,514987.4,0.0052%
2010,MYS,ALL,1801,81790856.91,0.83%
2010,PHL,ALL,1801,777164.19,0.0079%
2010,SAU,ALL,1801,882266.63,0.0090%
2010,SGP,ALL,1801,23579672.04,0.24%
2010,SYR,ALL,1801,46987.63,0.00048%
2010,TUR,ALL,1801,5998974.56,0.061%
2010,VNM,ALL,1801,6246901.25,0.064%
2010,AUT,ALL,1801,329351.28,0.0033%
2010,BLX,ALL,1801,80999755.04,0.82%
2010,CHE,ALL,1801,1712930.56,0.017%
2010,CZE,ALL,1801,10289,0.00010%
2010,DEU,ALL,1801,20354443.86,0.21%
2010,DNK,ALL,1801,4649,0.000047%
2010,ESP,ALL,1801,10359587.54,0.11%
2010,EST,ALL,1801,115494666,1.2%
2010,FRA,ALL,1801,51258243.14,0.52%
2010,GBR,ALL,1801,38422862.65,0.39%
2010,IRL,ALL,1801,81460,0.00083%
2010,ITA,ALL,1801,562186.2,0.0057%
2010,LTU,ALL,1801,1896,0.000019%
2010,NLD,ALL,1801,129747015.24,1.3%
2010,NOR,ALL,1801,332669.01,0.0034%
2010,POL,ALL,1801,9692.81,0.000099%
2010,PRT,ALL,1801,1604,0.000016%
2010,ROU,ALL,1801,525184,0.0053%
2010,SRB,ALL,1801,86754,0.00088%
2010,SWE,ALL,1801,53104.71,0.00054%
2010,XXC,ALL,1801,13138.09,0.00013%
2010,ATG,ALL,1801,55318.52,0.00056%
2010,BLZ,ALL,1801,63273.7,0.00064%
2010,CAN,ALL,1801,1414462.4,0.014%
2010,CRI,ALL,1801,1115016.17,0.011%
2010,CUB,ALL,1801,407335.84,0.0041%
2010,DMA,ALL,1801,620755.32,0.0063%
2010,DOM,ALL,1801,183572751.55,1.9%
2010,GRD,ALL,1801,893808.37,0.0091%
2010,GTM,ALL,1801,34444.16,0.00035%
2010,HND,ALL,1801,326003.26,0.0033%
2010,HTI,ALL,1801,13465439.94,0.14%
2010,JAM,ALL,1801,2133359.51,0.022%
2010,LCA,ALL,1801,87005,0.00088%
2010,MEX,ALL,1801,1700748.2,0.017%
2010,NIC,ALL,1801,3895874.2,0.040%
2010,PAN,ALL,1801,4453658.58,0.045%
2010,SLV,ALL,1801,14999.3,0.00015%
2010,TTO,ALL,1801,3690258.88,0.038%
2010,USA,ALL,1801,15768573.54,0.16%
2010,AUS,ALL,1801,15081.84,0.00015%
2010,FJI,ALL,1801,36639.05,0.00037%
2010,NZL,ALL,1801,179241.79,0.0018%
2010,PNG,ALL,1801,194654887.35,2.0%
2010,SLB,ALL,1801,15981014.47,0.16%
2010,TON,ALL,1801,325708.59,0.0033%
2010,VUT,ALL,1801,5362769.45,0.055%
2010,ARG,ALL,1801,2609757.47,0.027%
2010,BOL,ALL,1801,2044767.6,0.021%
2010,BRA,ALL,1801,2399948.43,0.024%
2010,COL,ALL,1801,14728292.26,0.15%
2010,ECU,ALL,1801,362059290,3.7%
2010,PER,ALL,1801,36308980.99,0.37%
2010,SUR,ALL,1801,36082.7,0.00037%
2010,VEN,ALL,1801,26074572.1,0.27%
